QUAD,SP,XCO,YCO
23,RYPAKU,59.5,95.9
23,MEMEMI,59.9,99
23,ATUNPE,58.6,97.8
23,MEL1FU,59.4,88
23,CROTLA,54.5,89.5
23,SHORP1,56.1,91.7
23,PIMEGR,47.2,86
23,PARKJA,54.6,87.4
23,PIMEGR,50.7,89.8
23,LITHCU,51.5,86.9
23,INTSPA,52.3,86
23,CYNOMA,48.9,85.6
23,SANDKO,50.2,84.2
23,EUGEDU,50.7,82.9
23,PORTAN,52.2,81.2
23,KNEMSC,55.1,82.7
23,PAYELU,54.2,84.1
23,PORTAN,55.6,82.8
23,NEOSKI,59.3,82.7
23,PTERCO,59.3,83.8
23,PAYELU,55.6,86.2
23,KNEMSC,48.4,88
23,XANTRU,47.3,99.9
24,HOPEME,79.7,85
24,BARRPE,79.7,85.6
24,SHORM2,60.5,89
24,EUGEC1,63.5,87.9
24,EUGEGR,68.2,89.1
24,MONOMA,67,90
24,DACRR1,65.7,91.4
24,SHOROV,63.5,92
24,DACRR1,64.4,93.4
24,MESURA,64.1,94
24,HOPEME,66.7,95.7
24,EUGEC4,66.5,96.1
24,MADHL1,64.1,98.7
24,XANTEU,64.4,99.5
24,CROTLA,61.8,98
24,XYLOM1,70.2,87.2
24,SHORM1,70.5,89
24,DRYPLO,70.8,95.7
24,DIPTC1,78.5,97.5
24,KNEMMA,78.7,98.2
24,SHORM1,75.9,83.2
24,LITSFI,78.3,83
24,NAUCOF,73.8,81
